count,hour,minute,second,msec,x1,y1,z1,x2,y2,z2,x3,y3,z3,q1,q2,q3,pos1,pos2,pos3,vel1,vel2,vel3
1931,17,52,44,793,-0.179101,0.314626,1.42918,-0.423671,0.334938,1.41066,-0.617926,0.358898,1.34464,85.5604,-94.8025,-14.1049,86.5441,94.7145,18.6184,-2.21443,0.674973,-6.45859
1932,17,52,44,828,-0.17885,0.314842,1.42953,-0.423453,0.335272,1.40981,-0.61855,0.35882,1.3458,85.5626,-94.7581,-14.1702,86.4672,94.7344,18.3932,-2.02698,0.466919,-7.14661
1933,17,52,44,857,-0.17885,0.314842,1.42953,-0.423453,0.335272,1.40981,-0.61855,0.35882,1.3458,85.5361,-94.7383,-14.1053,86.4109,94.744,18.2119,-1.75919,0.295944,-6.14342
1934,17,52,44,894,-0.17885,0.314842,1.42953,-0.423453,0.335272,1.40981,-0.61855,0.35882,1.3458,85.4862,-94.7358,-13.9442,86.347,94.7523,17.975,-1.74408,0.102997,-6.52107
1935,17,52,44,929,-0.178669,0.313957,1.43048,-0.423396,0.335798,1.40923,-0.619686,0.359211,1.34786,85.4162,-94.7628,-13.7065,86.2887,94.7543,17.7649,-1.8045,0.0411987,-5.57762
1936,17,52,44,963,-0.178669,0.313957,1.43048,-0.423396,0.335798,1.40923,-0.619686,0.359211,1.34786,85.3089,-94.8381,-13.3404,86.2283,94.7564,17.5768,-1.89789,0.044632,-5.53917
1937,17,52,44,995,-0.178674,0.313954,1.43046,-0.423401,0.335782,1.40921,-0.619691,0.359181,1.34783,85.1912,-94.9345,-12.9397,86.1651,94.7571,17.3893,-2.03796,0.0508118,-5.80421
1938,17,52,45,13,-0.178674,0.313954,1.43046,-0.423401,0.335782,1.40921,-0.619691,0.359181,1.34783,85.1007,-95.0132,-12.6329,86.128,94.7591,17.2801,-2.11349,0.0720978,-5.69641
1939,17,52,45,56,-0.178674,0.313954,1.43046,-0.423401,0.335782,1.40921,-0.619691,0.359181,1.34783,85.0459,-95.0631,-12.4476,86.036,94.7653,17.0226,-2.14302,0.289078,-6.5197
1940,17,52,45,96,-0.178536,0.314506,1.42785,-0.424257,0.333411,1.41225,-0.620815,0.354319,1.34993,85.1104,-95.0414,-12.4676,85.9522,94.7818,16.7775,-2.0208,0.486145,-5.90309
1941,17,52,45,113,-0.178536,0.314506,1.42785,-0.424257,0.333411,1.41225,-0.620815,0.354319,1.34993,85.3864,-94.9032,-12.7773,85.9179,94.79,16.6711,-1.73996,0.543137,-6.04385
1942,17,52,45,160,-0.178423,0.31408,1.42801,-0.424268,0.330979,1.41246,-0.621006,0.349669,1.35007,85.7657,-94.6764,-13.229,85.8602,94.8148,16.3744,-0.754623,0.414734,-5.45128
1943,17,52,45,179,-0.178423,0.31408,1.42801,-0.424268,0.330979,1.41246,-0.621006,0.349669,1.35007,86.0871,-94.4113,-13.6189,85.8506,94.8216,16.2687,-0.098877,0.370102,-5.64629
1944,17,52,45,211,-0.178423,0.31408,1.42801,-0.424268,0.330979,1.41246,-0.621006,0.349669,1.35007,86.2985,-94.1705,-13.8788,85.852,94.8312,16.0819,0.405807,0.250626,-5.17868
1945,17,52,45,246,-0.178677,0.31325,1.42857,-0.424663,0.328031,1.41328,-0.621767,0.34464,1.35149,86.412,-93.9714,-14.0068,85.876,94.8381,15.9315,1.06705,0.131836,-3.67767
1946,17,52,45,277,-0.178677,0.31325,1.42857,-0.424663,0.328031,1.41328,-0.621767,0.34464,1.35149,86.4631,-93.777,-14.0293,85.9124,94.8402,15.8203,1.2085,0.0171661,-3.50464
1947,17,52,45,312,-0.17868,0.313247,1.42856,-0.424667,0.32802,1.41328,-0.621773,0.344621,1.3515,86.4791,-93.6035,-13.9941,85.957,94.8402,15.7036,1.23253,-0.042572,-3.23822
1948,17,52,45,346,-0.17868,0.313247,1.42856,-0.424667,0.32802,1.41328,-0.621773,0.344621,1.3515,86.4765,-93.4854,-13.9444,85.9989,94.834,15.6061,1.13091,-0.727158,-2.35725
1949,17,52,45,376,-0.17868,0.313247,1.42856,-0.424667,0.32802,1.41328,-0.621773,0.344621,1.3515,86.4668,-93.4217,-13.9021,86.0305,94.801,15.5374,0.947571,-1.6452,-2.06474
1950,17,52,45,413,-0.178375,0.313364,1.42826,-0.424522,0.325076,1.41615,-0.624729,0.337381,1.36471,86.5067,-93.3499,-13.7213,86.0635,94.7248,15.4605,0.895386,-2.72392,-2.21718
1951,17,52,45,445,-0.178375,0.313364,1.42826,-0.424522,0.325076,1.41615,-0.624729,0.337381,1.36471,86.6561,-93.1984,-13.2264,86.093,94.6328,15.3864,0.869293,-2.92648,-2.38403
1952,17,52,45,493,-0.175825,0.312358,1.42456,-0.422314,0.296331,1.41767,-0.622435,0.287314,1.36397,86.9422,-92.5726,-12.7079,86.1479,94.492,15.2593,1.25244,-2.87224,-2.7562
1953,17,52,45,511,-0.175825,0.312358,1.42456,-0.422314,0.296331,1.41767,-0.622435,0.287314,1.36397,87.3717,-91.051,-12.5708,86.1733,94.4412,15.2092,1.74614,-2.97455,-2.70401
1954,17,52,45,546,-0.175767,0.310143,1.42172,-0.422327,0.292318,1.42005,-0.622102,0.280346,1.36531,87.9083,-89.1079,-12.8525,86.2502,94.3245,15.1124,2.72392,-3.91251,-2.84615
